movieName,isNeg
tt0064354,1
tt0100680,1
tt0100680,1
tt0100680,1
tt0047200,1
tt0893406,1
tt0893406,1
tt0893406,1
tt0893406,1
tt0893406,1
tt0893406,1
tt0893406,1
tt0893406,1
tt0893406,1
tt0893406,1
tt0893406,1
tt0893406,1
tt0277931,1
tt0277931,1
tt0479948,1
tt0479948,1
tt0479948,1
tt0479948,1
tt0479948,1
tt0479948,1
tt0479948,1
tt0479948,1
tt0479948,1
tt0479948,1
tt0101829,1
tt0127388,1
tt0127388,1
tt0127388,1
tt0127388,1
tt0080486,1
tt0080486,1
tt0080486,1
tt0080486,1
tt0080486,1
tt0080486,1
tt0080486,1
tt0080486,1
tt0080486,1
tt0080486,1
tt0080486,1
tt0080486,1
tt0080486,1
tt0080486,1
tt0114366,1
tt0114366,1
tt0117382,1
tt0220631,1
tt0220631,1
tt0220631,1
tt0087951,1
tt0087951,1
tt0087951,1
tt0087951,1
tt0087951,1
tt0087951,1
tt0087951,1
tt0073766,1
tt0031999,1
tt0099300,1
tt0099300,1
tt0213446,1
tt0277941,1
tt0277941,1
tt0277941,1
tt0277941,1
tt0277941,1
tt0277941,1
tt0277941,1
tt0277941,1
tt0277941,1
tt0277941,1
tt0277941,1
tt0277941,1
tt0182225,1
tt0182225,1
tt0846119,1
tt0760179,1
tt0760179,1
tt0760179,1
tt0081421,1
tt0081421,1
tt0785025,1
tt0785025,1
tt0785025,1
tt0785025,1
tt0785025,1
tt0272950,1
tt0272950,1
tt0272950,1
tt0272950,1
tt0272950,1
tt0272950,1
tt0272950,1
tt0272950,1
tt0272950,1
tt0272950,1
tt0272950,1
tt0272950,1
tt0272950,1
tt0272950,1
tt0272950,1
tt0272950,1
tt0272950,1
tt0272950,1
tt0272950,1
tt0083189,1
tt0083189,1
tt0083189,1
tt0083189,1
tt0083189,1
tt0083189,1
tt0083189,1
tt0083189,1
tt0083189,1
tt0083189,1
tt0363018,1
tt0363018,1
tt0061834,1
tt0061834,1
tt0061834,1
tt0061834,1
tt0061834,1
tt0061834,1
tt0061834,1
tt0061834,1
tt0206187,1
tt0206187,1
tt0206187,1
tt0242998,1
tt0242998,1
tt0242998,1
tt0242998,1
tt0242998,1
tt0242998,1
tt0242998,1
tt0242998,1
tt0242998,1
tt0242998,1
tt0242998,1
tt0242998,1
tt0242998,1
tt0242998,1
tt0242998,1
tt0400944,1
tt0400944,1
tt0400944,1
tt0400944,1
tt0088939,1
tt0088939,1
tt0286098,1
tt0286098,1
tt0286098,1
tt0286098,1
tt0352426,1
tt0352426,1
tt0028108,1
tt0050135,1
tt0105631,1
tt0211492,1
tt0286610,1
tt0286610,1
tt0286610,1
tt0286610,1
tt0286610,1
tt0038733,1
tt0038733,1
tt0283974,1
tt0283974,1
tt0283974,1
tt0283974,1
tt0283974,1
tt0283974,1
tt0283974,1
tt0283974,1
tt0283974,1
tt0283974,1
tt0283974,1
tt0283974,1
tt0048055,1
tt0048055,1
tt0048055,1
tt0048055,1
tt0105265,1
tt0105265,1
tt0105265,1
tt0105265,1
tt0105265,1
tt0105265,1
tt0105265,1
tt0092527,1
tt0092527,1
tt0092527,1
tt0092527,1
tt0092527,1
tt0094643,1
tt0094643,1
tt0443057,1
tt0070359,1
tt0070359,1
tt0716825,1
tt0076299,1
tt0335179,1
tt0079813,1
tt0079813,1
tt0080756,1
tt0086946,1
tt0086946,1
tt0086946,1
tt0484437,1
tt0484437,1
tt0484437,1
tt0484437,1
tt0484437,1
tt0484437,1
tt0484437,1
tt0245407,1
tt0245407,1
tt0245407,1
tt0245407,1
tt0245407,1
tt0245407,1
tt0245407,1
tt0245407,1
tt0245407,1
tt0245407,1
tt0245407,1
tt0245407,1
tt0245407,1
tt0245407,1
tt0245407,1
tt0264366,1
tt0086190,1
tt0365485,1
tt0494290,1
tt0494290,1
tt0494290,1
tt0494290,1
tt0365390,1
tt0365390,1
tt0026110,1
tt0272202,1
tt0272202,1
tt0361179,1
tt0087056,1
tt0087056,1
tt0087056,1
tt0087056,1
tt0087056,1
tt0425661,1
tt0211938,1
tt0211938,1
tt0211938,1
tt0211938,1
tt0211938,1
tt0211938,1
tt0211938,1
tt0211938,1
tt0211938,1
tt0211938,1
tt0211938,1
tt0162128,1
tt0161032,1
tt0161032,1
tt0374240,1
tt0374240,1
tt0374240,1
tt0374240,1
tt0374240,1
tt0036515,1
tt0036515,1
tt0036515,1
tt0036515,1
